Iteration          x(i)       f(x(i)))
      1       1.70000000      -7.69660214 
      2       1.80000000      -4.28626167 
      3       1.92568427      -2.69848951 
      4       2.13929030      -1.56532288 
      5       2.43435934      -0.85472937 
      6       2.78927981      -0.36765173 
      7       3.05717781      -0.08461593 
      8       3.13726816      -0.00432452 
      9       3.14158185      -0.00001080 
     10       3.14159265      -0.00000000 
